,Unnamed: 0,id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,lat,long
13626,20146,1596,105.0,3,2.0,1,430000,4095,1,0,1,1,0,40.3943665,-3.6995638999999994
13627,20147,1595,85.0,2,2.0,2,299000,3518,1,0,1,0,0,40.3952269,-3.696527399999999
13628,20148,1594,85.0,2,2.0,2,299000,3518,0,0,1,0,0,40.3952269,-3.696527399999999
13629,20149,1593,70.0,3,1.0,1,299000,4271,1,0,1,1,0,40.405390600000004,-3.7211875
13630,20150,1592,85.0,3,2.0,3,381000,4482,1,0,1,0,0,40.4032245,-3.7021677000000004
13631,20151,1591,25.0,0,1.0,2,154000,6160,0,0,0,0,0,40.401493200000004,-3.702318
13632,20152,1590,61.0,3,1.0,2,233000,3820,1,0,1,0,0,40.395163399999994,-3.6946201000000003
13633,20153,1589,22.0,1,1.0,2,122000,5545,0,0,0,0,0,40.4028662,-3.6907777999999998
13634,20154,1588,129.0,3,1.0,5,450000,3488,0,0,1,1,0,40.40632790000001,-3.6947546
13635,20155,1587,120.0,4,2.0,4,440000,3667,0,0,1,1,0,40.403407200000004,-3.6971595
13636,20156,1586,22.0,0,1.0,3,159500,7250,0,0,1,0,0,40.395163399999994,-3.6946201000000003
13637,20157,1585,138.0,3,2.0,2,395000,2862,0,0,1,1,0,40.384322600000004,-3.6869032999999996
13638,20158,1584,99.0,3,2.0,2,383000,3869,0,0,1,1,0,40.396121,-3.6981685
13639,20159,1583,45.0,1,1.0,1,285000,6333,0,0,1,1,0,40.3893415,-3.6899112
13640,20161,1581,52.0,2,2.0,4,269000,5173,0,0,0,1,0,40.403528,-3.7079538
13641,20162,1580,132.0,4,2.0,6,279000,2114,1,0,1,1,0,40.395163399999994,-3.6946201000000003
13642,20163,1579,36.0,2,1.0,3,159000,4417,1,0,0,0,0,40.401576500000004,-3.696085999999999
13643,20164,1578,39.0,1,1.0,4,299990,7692,0,0,1,1,1,40.3945377,-3.683676199999999
13644,20165,1577,95.0,4,1.0,5,428000,4505,0,0,1,0,0,40.404750899999996,-3.6944659
13645,20166,1576,115.0,5,2.0,6,499000,4339,0,0,1,1,1,40.395801399999996,-3.704108
13646,20168,1574,127.0,4,2.0,2,399900,3149,1,0,1,1,0,40.395163399999994,-3.6946201000000003
13647,20169,1573,103.0,5,2.0,1,320000,3107,1,0,1,1,0,40.4040989,-3.6928845999999997
13648,20171,1571,83.0,2,2.0,1,340000,4096,0,0,1,1,1,40.387085299999995,-3.6933842000000006
13649,20174,1568,135.0,3,2.0,2,450000,3333,0,0,1,1,0,40.403329299999996,-3.701492899999999
13650,20178,1564,153.0,4,2.0,2,530000,3464,0,0,1,1,0,40.398540000000004,-3.7088972
13651,20179,1563,70.0,3,1.0,3,252000,3600,0,0,1,0,0,40.40510099999999,-3.6988754999999998
13652,20180,1562,52.0,1,1.0,3,199000,3827,0,0,0,1,0,40.40613889999999,-3.7089508
13653,20181,1561,142.0,4,2.0,4,595000,4190,0,0,1,1,0,40.4040989,-3.6928845999999997
13654,20182,1560,76.0,2,1.0,2,275000,3618,0,0,1,1,0,40.3973554,-3.6997821
13655,20183,1559,130.0,4,2.0,0,695000,5346,0,0,1,1,1,40.3907402,-3.6888659
13656,20184,1558,130.0,3,2.0,5,425000,3269,1,0,1,1,0,40.4062349,-3.711950599999999
13657,20185,1557,108.0,3,1.0,1,375000,3472,0,0,1,1,0,40.403407200000004,-3.6971595
13658,20186,1556,110.0,4,2.0,6,419000,3809,0,0,1,1,0,40.395163399999994,-3.6946201000000003
13659,20188,1554,87.0,2,1.0,0,305000,3506,0,0,1,1,1,40.388480200000004,-3.6932087999999994
13660,20189,1553,80.0,2,1.0,0,290000,3625,0,0,1,1,0,40.3981679,-3.7062512
13661,20190,1552,102.0,3,2.0,3,365000,3578,0,0,1,0,0,40.4030642,-3.7021816
13662,20191,1551,81.0,3,1.0,8,349000,4309,0,0,1,0,0,40.3987614,-3.6975937999999986
13663,20192,1550,150.0,4,2.0,1,619000,4127,0,0,1,1,1,40.3986454,-3.6857284
13664,20193,1549,160.0,5,3.0,0,475000,2969,1,0,0,1,0,40.41024,-3.71884
13665,20194,1548,115.0,3,2.0,2,619000,5383,0,0,1,1,1,40.413780100000004,-3.7183838
13666,20195,1547,115.0,3,2.0,2,619000,5383,0,0,1,1,1,40.413780100000004,-3.7183838
13667,20196,1546,83.0,2,2.0,1,340000,4096,0,0,1,1,1,40.387085299999995,-3.6933842000000006
13668,20197,1545,85.0,2,2.0,2,299000,3518,0,0,1,0,0,40.3952269,-3.696527399999999
13669,20198,1544,83.0,2,2.0,1,340000,4096,0,0,1,1,1,40.387085299999995,-3.6933842000000006
13670,20199,1543,145.0,4,2.0,1,575000,3966,0,0,1,1,1,40.397963,-3.6861047999999994
13671,20200,1542,70.0,2,2.0,1,340000,4857,0,0,0,0,0,40.4034188,-3.7136082000000004
13672,20201,1541,117.0,3,2.0,1,549000,4692,0,0,1,1,1,40.3932651,-3.6796373
13673,20202,1540,115.0,3,3.0,5,559000,4861,0,0,1,1,0,40.404921400000006,-3.7044379000000003
13674,20204,1538,120.0,4,2.0,5,475000,3958,0,0,1,1,1,40.39687139999999,-3.6965185
13675,20205,1537,41.0,1,1.0,3,199000,4854,0,0,1,0,0,40.395163399999994,-3.6946201000000003
13676,20207,1535,97.0,3,1.0,1,339000,3495,0,0,1,1,0,40.403407200000004,-3.6971595
13677,20208,1534,64.0,1,1.0,5,377000,5891,0,0,1,1,1,40.3869719,-3.690759299999999
13678,20209,1533,55.0,2,1.0,2,194000,3527,0,0,1,0,0,40.4018264,-3.6923388999999998
13679,20210,1532,32.0,1,1.0,4,155000,4844,0,0,0,0,0,40.4009311,-3.6968644999999998
13680,20211,1531,101.0,3,1.0,7,378000,3743,0,0,1,1,0,40.395163399999994,-3.6946201000000003
13681,20212,1530,56.0,2,1.0,3,182100,3252,1,0,0,1,0,40.401493200000004,-3.702318
13682,20213,1529,101.0,3,2.0,1,349000,3455,0,0,1,1,0,40.398922999999996,-3.700415
13683,20214,1528,48.0,2,1.0,2,215000,4479,0,0,1,1,0,40.3978705,-3.7022602999999994
13684,20215,1527,40.0,2,1.0,3,129900,3248,1,0,0,0,0,40.400749100000006,-3.7042027
13685,20216,1526,77.0,2,2.0,1,340000,4416,0,0,1,1,0,40.4034188,-3.7136082000000004
13686,20217,1525,60.0,1,1.0,6,190000,3167,0,0,1,0,0,40.4048723,-3.6905871
13687,20218,1524,117.0,3,2.0,6,525000,4487,0,0,1,1,1,40.395728399999996,-3.6852473
13688,20219,1523,78.0,3,1.0,3,325000,4167,0,0,1,0,0,40.404750899999996,-3.6944659
13689,20220,1522,34.0,1,1.0,1,168000,4941,0,0,1,0,0,40.39687139999999,-3.6965185
13690,20221,1521,49.0,2,1.0,2,160000,3265,1,0,1,0,0,40.395163399999994,-3.6946201000000003
13691,20222,1520,91.0,3,1.0,1,330000,3626,1,0,1,1,0,40.4120332,-3.7205244
