,id,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,has_lift,is_exterior,has_parking,coordinates
10010,11732,456.0,5,5.0,,1190000,2610,False,False,,,True,"{'lat': 40.4567309, 'lng': -3.647631}"
10011,11731,256.0,4,5.0,3,1795000,7012,False,,True,True,True,"{'lat': 40.4567024, 'lng': -3.6402797}"
10012,11730,266.0,4,5.0,2,1740000,6541,False,,True,True,True,"{'lat': 40.4567024, 'lng': -3.6402797}"
10013,11729,326.0,4,5.0,Bajo,3130000,9601,False,,True,True,True,"{'lat': 40.4567024, 'lng': -3.6402797}"
10014,11728,221.0,4,2.0,2,760000,3439,False,False,True,True,True,"{'lat': 40.4509353, 'lng': -3.6149217}"
10015,11727,67.0,2,1.0,2,187000,2791,False,False,True,True,False,"{'lat': 40.4786863, 'lng': -3.6440096}"
10016,11726,420.0,6,5.0,,1400000,3333,False,False,,,True,"{'lat': 40.4535876, 'lng': -3.6502323}"
10017,11725,78.0,0,1.0,3,180000,2308,False,False,True,True,True,"{'lat': 40.4880917, 'lng': -3.6660667}"
10018,11724,65.0,2,1.0,5,223000,3431,False,False,True,True,False,"{'lat': 40.4747635, 'lng': -3.6515536}"
10019,11723,60.0,3,1.0,2,185000,3083,True,False,True,True,False,"{'lat': 40.4662197, 'lng': -3.6307929}"
10020,11722,500.0,5,5.0,,1600000,3200,False,False,,,True,"{'lat': 40.45043310000001, 'lng': -3.6432882}"
10021,11721,64.0,1,1.0,3,271078,4236,False,False,True,True,True,"{'lat': 40.4650097, 'lng': -3.6488505}"
10022,11720,170.0,4,2.0,1,650000,3824,False,False,True,True,True,"{'lat': 40.5003951, 'lng': -3.6558859}"
10023,11719,132.0,3,2.0,4,631000,4780,False,False,True,True,True,"{'lat': 40.482641, 'lng': -3.6163346}"
10024,11718,140.0,4,2.0,8,360000,2571,True,False,True,True,False,"{'lat': 40.4697252, 'lng': -3.6519612}"
10025,11717,56.0,1,1.0,3,275000,4911,False,False,True,True,True,"{'lat': 40.4950543, 'lng': -3.6504833}"
10026,11716,700.0,4,5.0,,2500000,3571,False,False,,,True,"{'lat': 40.4567024, 'lng': -3.6402797}"
10027,11715,65.0,3,1.0,4,170000,2615,False,False,False,True,False,"{'lat': 40.4719732, 'lng': -3.6568914}"
10028,11714,625.0,4,3.0,,990000,1584,False,False,,,True,"{'lat': 40.4511581, 'lng': -3.6068948}"
10029,11713,90.0,2,2.0,4,380000,4222,False,False,True,True,True,"{'lat': 40.4954338, 'lng': -3.6527798}"
10030,11712,362.0,7,5.0,,1480000,4088,False,False,,,False,"{'lat': 40.4570051, 'lng': -3.6495118}"
10031,11711,65.0,3,1.0,4,180000,2769,False,False,True,True,False,"{'lat': 40.4710793, 'lng': -3.6519071}"
10032,11710,124.0,3,2.0,Bajo,480000,3871,False,False,True,True,True,"{'lat': 40.4930944, 'lng': -3.651507999999999}"
10033,11709,541.0,4,4.0,,990000,1830,False,,,,False,"{'lat': 40.4511581, 'lng': -3.6068948}"
10034,11708,202.0,3,2.0,1,620000,3069,False,False,True,True,True,"{'lat': 40.49236990000001, 'lng': -3.6068121}"
10035,11707,101.0,2,2.0,3,400000,3960,False,False,True,True,True,"{'lat': 40.499363, 'lng': -3.6530014}"
10036,11706,133.0,3,2.0,4,595800,4480,False,False,True,True,True,"{'lat': 40.4947956, 'lng': -3.6592546}"
10037,11705,97.0,4,2.0,1,380000,3918,False,False,True,True,True,"{'lat': 40.4770361, 'lng': -3.641137399999999}"
10038,11704,84.0,4,1.0,3,200000,2381,True,False,True,True,False,"{'lat': 40.4658234, 'lng': -3.6325504}"
10039,11703,85.0,2,2.0,1,450000,5294,False,False,True,True,True,"{'lat': 40.4855595, 'lng': -3.6675833}"
10040,11702,192.0,4,3.0,5,745000,3880,False,False,True,True,True,"{'lat': 40.4919848, 'lng': -3.6607792}"
10041,11701,187.0,4,3.0,1,568000,3037,False,,True,,False,"{'lat': 40.497924, 'lng': -3.6126952}"
10042,11700,600.0,7,5.0,,1650000,2750,False,False,,,True,"{'lat': 40.45043310000001, 'lng': -3.6432882}"
10043,11699,108.0,2,2.0,1,339000,3139,False,False,True,True,True,"{'lat': 40.4787036, 'lng': -3.6318208}"
10044,11698,197.0,4,3.0,3,790000,4010,False,False,True,True,True,"{'lat': 40.4930944, 'lng': -3.651507999999999}"
10046,11696,400.0,5,6.0,,1495000,3738,False,False,,,True,"{'lat': 40.457071, 'lng': -3.625840999999999}"
10047,11695,73.0,3,1.0,3,160000,2192,False,False,False,True,False,"{'lat': 40.4736425, 'lng': -3.6607623}"
10049,11693,120.0,2,2.0,1,359000,2992,False,False,False,True,True,"{'lat': 40.5069836, 'lng': -3.6552459}"
10053,11689,68.0,0,1.0,1,245000,3603,False,False,True,True,True,"{'lat': 40.5069836, 'lng': -3.6552459}"
10054,11688,262.0,5,3.0,,675000,2576,False,False,,,True,"{'lat': 40.4650083, 'lng': -3.6494914}"
10056,11686,55.0,2,1.0,1,145000,2636,False,False,True,True,False,"{'lat': 40.4778195, 'lng': -3.661428899999999}"
10058,11684,65.0,1,1.0,1,440000,6769,False,False,True,True,True,"{'lat': 40.45043310000001, 'lng': -3.6432882}"
10059,11683,102.0,3,2.0,6,330000,3235,True,False,True,True,True,"{'lat': 40.46338650000001, 'lng': -3.6375887}"
10063,11679,152.0,3,2.0,2,495000,3257,False,False,True,True,True,"{'lat': 40.494223, 'lng': -3.6576514}"
10065,11677,170.0,4,2.0,1,650000,3824,False,False,True,True,True,"{'lat': 40.5003951, 'lng': -3.6558859}"
10067,11675,64.0,2,1.0,2,150000,2344,True,False,False,True,False,"{'lat': 40.4719687, 'lng': -3.6550029}"
10068,11674,73.0,2,1.0,7,399900,5478,False,False,True,True,True,"{'lat': 40.4869164, 'lng': -3.6560746}"
10069,11673,37.0,0,1.0,Bajo,102000,2757,True,False,False,True,False,"{'lat': 40.4703015, 'lng': -3.6453106}"
10070,11672,55.0,2,1.0,1,149000,2709,False,False,True,True,False,"{'lat': 40.4783409, 'lng': -3.6603796}"
10071,11671,50.0,2,1.0,Bajo,162000,3240,False,False,,,False,"{'lat': 40.488877, 'lng': -3.665975599999999}"
10072,11670,65.0,3,1.0,3,169000,2600,False,False,False,True,False,"{'lat': 40.4607051, 'lng': -3.6475639}"
10073,11669,55.0,2,1.0,2,157000,2855,False,False,False,True,False,"{'lat': 40.4720445, 'lng': -3.6512432}"
10074,11668,112.0,1,1.0,3,299000,2670,False,False,True,True,True,"{'lat': 40.4877863, 'lng': -3.6660504}"
10076,11666,74.0,2,1.0,2,215000,2905,False,False,True,True,False,"{'lat': 40.47133480000001, 'lng': -3.6487654}"
10077,11665,50.0,1,1.0,1,198000,3960,False,False,True,True,True,"{'lat': 40.4659669, 'lng': -3.6344518}"
10078,11664,38.0,1,1.0,Bajo,101000,2658,False,False,False,,False,"{'lat': 40.4703015, 'lng': -3.6453106}"
10079,11663,60.0,2,1.0,3,159000,2650,False,False,False,True,False,"{'lat': 40.4743713, 'lng': -3.638413299999999}"
10080,11662,60.0,3,1.0,4,184000,3067,False,False,False,True,False,"{'lat': 40.4710793, 'lng': -3.6519071}"
10081,11661,112.0,4,2.0,7,395000,3527,True,False,True,True,True,"{'lat': 40.4685352, 'lng': -3.6392567}"
10082,11660,115.0,3,2.0,2,595000,5174,False,False,True,True,True,"{'lat': 40.460401, 'lng': -3.630271}"
10083,11659,136.0,3,2.0,3,570000,4191,False,False,True,True,True,"{'lat': 40.4993218, 'lng': -3.6592945}"
10084,11658,600.0,4,7.0,,1850000,3083,False,False,,,True,"{'lat': 40.4516873, 'lng': -3.6329811}"
10085,11657,110.0,3,2.0,3,475000,4318,False,False,True,True,True,"{'lat': 40.4950543, 'lng': -3.6504833}"
10086,11656,190.0,3,2.0,Bajo,769000,4047,False,False,True,True,True,"{'lat': 40.460321, 'lng': -3.6236434}"
10087,11655,89.0,2,2.0,2,450000,5056,False,False,True,True,True,"{'lat': 40.4917113, 'lng': -3.6590558}"
10088,11654,113.0,0,1.0,5,245000,2168,False,False,True,True,True,"{'lat': 40.4857014, 'lng': -3.6654236}"
10089,11653,128.0,3,2.0,3,620000,4844,False,False,True,True,True,"{'lat': 40.45043310000001, 'lng': -3.6432882}"
10090,11652,98.0,3,2.0,1,300000,3061,False,False,True,True,True,"{'lat': 40.4751828, 'lng': -3.6529774}"
10091,11651,177.0,4,3.0,Bajo,825000,4661,False,False,True,True,True,"{'lat': 40.49658, 'lng': -3.654524}"
10092,11650,55.0,1,1.0,2,287000,5218,False,False,True,True,False,"{'lat': 40.4653676, 'lng': -3.6470326}"
10093,11649,600.0,4,7.0,,1850000,3083,False,False,,,True,"{'lat': 40.4549043, 'lng': -3.6292225}"
10094,11648,144.0,3,2.0,4,680000,4722,False,False,True,True,True,"{'lat': 40.4528899, 'lng': -3.62426}"
10095,11647,144.0,3,2.0,4,680000,4722,False,False,True,True,True,"{'lat': 40.4528899, 'lng': -3.62426}"
10096,11646,365.0,4,4.0,,1050000,2877,False,False,,,True,"{'lat': 40.45140720000001, 'lng': -3.6134943}"
10097,11645,76.0,0,1.0,4,360000,4737,False,False,True,True,True,"{'lat': 40.4615804, 'lng': -3.6369477}"
